name,coordinate,altitude,color,timezone,sza,area

Toulouse,"[1.0, 43.0]",120.0,blue,Etc/GMT+2,0,False

Paris,"[2.0, 45.0]",120.0,orange,Etc/GMT+2,0,False

Iceland,"[(67.27164424823405, -25.638553338864767), (67.94126275262336, -11.576053338864796), (63.85958156696241, -11.048709588864796), (63.704265593178064, -27.396365838864767)]",2.0,red,Etc/GMT+0,0,True

Alg�rie,"[(35.13410865752682, -2.0383066070810685), (32.35750874358909, -1.247290982081097), (31.985531327846516, -3.180884732081097), (30.8605525190671, -3.796119107081097), (29.416444286652943, -5.729712857081097), (28.647984565076623, -8.630103482081097), (27.32863924702375, -8.805884732081097), (19.18232318409205, 3.147240267918903), (23.438858878958442, 12.112084017918903), (26.387739574300127, 9.387474642918903), (30.255084724727624, 9.387474642918903), (34.048839379083596, 7.365990267918903), (36.98132012069083, 8.596459017918903), (36.91107791929826, 4.026146517918903), (36.346813544727645, 0.9499746429189031)]",22.0,green,Etc/GMT+1,0,True

Finland,"[(69.06477692328666, 28.591929559043194), (68.36461294216404, 28.445943637818658), (67.69829702419275, 29.97742638522061), (66.94428620062206, 29.054588657352326), (65.80598, 30.217650000000003), (64.94867157659048, 29.54442955904699), (64.20445343693909, 30.44468468600371), (63.55281362573855, 30.035872430142717), (62.86768748641289, 31.516092156711125), (62.35769277612441, 31.139991082490894), (61.780027777749694, 30.21110721204445), (60.503520000000094, 28.07000000000005), (60.50351912796823, 28.070001921525666), (60.50351654727584, 28.069997592895277), (60.4239606797625, 26.255172967236973), (60.05731639265166, 24.496623976344523), (59.846373196036225, 22.869694858499457), (60.39192129174154, 22.290763787533592), (60.720169989659524, 21.322244093519316), (61.70532949487179, 21.544866163832694), (62.60739329695874, 21.05921105315369), (63.18973501245587, 21.536029493910803), (63.81781037053129, 22.442744174903993), (64.90234365504084, 24.730511508897536), (65.11142650009374, 25.398067661243942), (65.53434642197045, 25.294043003040404), (66.00692739527962, 23.903378533633802), (66.39605093043743, 23.565879754335583), (67.93600861273525, 23.53947309743444), (68.6168456081807, 21.978534783626117), (69.10624726020087, 20.645592889089528), (69.37044302029308, 21.244936150810673), (68.84174144151491, 22.356237827247412), (68.89124746365054, 23.66204959483076), (68.64955678982146, 24.735679152126725), (69.09211375596904, 25.689212680776365), (69.82529897732614, 26.179622023226244), (70.16419302029625, 27.732292107867863), (69.76649119737799, 29.015572950971972), (69.06477692328666, 28.591929559043194)]",0.0,blue,Etc/GMT+3,0,True

